,Unnamed: 0,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description,Rain inches (last 3 hrs),Snow inches (last 3 hrs)
182,182,Usinsk,RU,2020-02-23 02:40:12,65.99,57.53,30.79,87,91,26.22,light snow,0.0,0.13
183,183,Mar Del Plata,AR,2020-02-23 02:40:12,-38.0,-57.56,60.01,87,0,8.3,clear sky,0.0,0.0
184,184,Amga,RU,2020-02-23 02:40:13,60.9,131.96,7.05,91,100,1.61,overcast clouds,0.0,0.0
185,185,Port Elizabeth,ZA,2020-02-23 02:40:13,-33.92,25.57,57.2,87,20,6.93,few clouds,0.0,0.0
186,186,Te Anau,NZ,2020-02-23 02:40:13,-45.42,167.72,59.0,65,79,9.28,broken clouds,0.0,0.0
187,187,Praia Da Vitoria,PT,2020-02-23 02:40:13,38.73,-27.07,55.4,82,40,8.03,scattered clouds,0.0,0.0
188,188,Naze,JP,2020-02-23 02:40:14,28.37,129.48,66.2,55,75,19.46,broken clouds,0.0,0.0
189,189,Maltahohe,,2020-02-23 02:40:14,-24.83,16.98,66.92,62,0,8.68,clear sky,0.0,0.0
190,190,Taoudenni,ML,2020-02-23 02:40:14,22.68,-3.98,73.22,15,62,13.76,broken clouds,0.0,0.0
191,191,Nelson Bay,AU,2020-02-23 02:40:15,-32.72,152.15,81.0,47,100,10.29,overcast clouds,0.0,0.0
192,192,Husavik,IS,2020-02-23 02:40:15,66.04,-17.34,32.0,74,20,4.7,few clouds,0.0,0.0
193,193,Cidreira,BR,2020-02-23 02:40:15,-30.18,-50.21,70.12,64,3,6.67,light rain,0.13,0.0
194,194,Castro,BR,2020-02-23 02:40:15,-24.79,-50.01,57.97,90,79,9.42,broken clouds,0.0,0.0
195,195,Troitskoye,RU,2020-02-23 02:40:16,52.98,84.68,16.52,92,70,5.79,broken clouds,0.0,0.0
196,196,Mana,GF,2020-02-23 02:40:16,5.66,-53.78,73.96,98,25,3.04,scattered clouds,0.0,0.0
197,197,Nikolskoye,RU,2020-02-23 02:40:16,59.7,30.79,39.2,80,90,15.66,overcast clouds,0.0,0.0
198,198,Kieta,PG,2020-02-23 02:40:16,-6.22,155.63,84.47,71,48,5.77,light rain,0.94,0.0
199,199,Iwaki,JP,2020-02-23 02:40:17,37.05,140.88,44.01,100,75,11.41,light shower snow,0.0,0.0
200,200,Abu Kamal,SY,2020-02-23 02:40:17,34.45,40.92,52.66,66,0,3.8,clear sky,0.0,0.0
201,201,Atambua,ID,2020-02-23 02:40:17,-9.11,124.89,83.1,70,0,5.79,clear sky,0.0,0.0
202,202,Saint-Philippe,RE,2020-02-23 02:40:17,-21.36,55.77,75.2,60,100,8.05,light rain,0.31,0.0
203,203,Saskylakh,RU,2020-02-23 02:35:30,71.92,114.08,5.07,95,100,9.22,light snow,0.0,0.38
204,204,Auki,SB,2020-02-23 02:40:18,-8.77,160.7,84.65,70,0,5.39,clear sky,0.0,0.0
205,205,Ikalamavony,MG,2020-02-23 02:40:18,-21.15,46.58,67.66,95,100,3.22,moderate rain,3.44,0.0
206,206,Aksarka,RU,2020-02-23 02:40:18,66.56,67.8,23.25,91,89,20.27,overcast clouds,0.0,0.0
207,207,Oranjestad,AW,2020-02-23 02:36:26,12.52,-70.03,78.8,78,20,11.41,few clouds,0.0,0.0
208,208,Sterling,US,2020-02-23 02:39:08,39.01,-77.43,42.01,59,1,4.7,clear sky,0.0,0.0
209,209,Ust-Maya,RU,2020-02-23 02:40:19,60.42,134.53,6.22,92,95,2.51,overcast clouds,0.0,0.0
210,210,Monster,NL,2020-02-23 02:40:19,52.03,4.17,48.99,87,90,19.46,light intensity drizzle,0.0,0.0
211,211,Puerto Cabello,VE,2020-02-23 02:40:20,10.47,-68.01,73.36,86,74,8.63,broken clouds,0.0,0.0
212,212,Beringovskiy,RU,2020-02-23 02:40:20,63.05,179.32,-8.12,93,0,4.23,clear sky,0.0,0.0
213,213,Nabire,ID,2020-02-23 02:40:20,-3.37,135.48,90.66,54,78,3.78,broken clouds,0.0,0.0
214,214,Faya,SA,2020-02-23 02:40:03,18.39,42.45,57.2,58,18,9.17,few clouds,0.0,0.0
215,215,Svetlogorsk,BY,2020-02-23 02:40:20,52.63,29.73,40.01,81,100,17.0,light rain,0.44,0.0
216,216,Tiarei,PF,2020-02-23 02:40:20,-17.53,-149.33,86.0,70,40,12.75,shower rain,0.0,0.0
217,217,Longyearbyen,SJ,2020-02-23 02:40:21,78.22,15.64,-2.2,77,20,10.29,few clouds,0.0,0.0
218,218,Akranes,IS,2020-02-23 02:40:21,64.32,-22.07,30.2,79,75,9.17,broken clouds,0.0,0.0
219,219,Derzhavinsk,KZ,2020-02-23 02:40:21,51.1,66.32,21.06,94,100,2.3,overcast clouds,0.0,0.0
220,220,Upington,ZA,2020-02-23 02:40:22,-28.45,21.26,68.0,56,0,5.82,clear sky,0.0,0.0
221,221,Port Moresby,PG,2020-02-23 02:38:57,-9.44,147.18,93.2,56,40,9.17,haze,0.0,0.0
222,222,Enumclaw,US,2020-02-23 02:40:22,47.2,-121.99,46.0,81,1,3.85,clear sky,0.0,0.0
223,223,Jalu,LY,2020-02-23 02:40:22,29.03,21.55,51.44,72,0,11.43,clear sky,0.0,0.0
224,224,Akdepe,TM,2020-02-23 02:40:23,42.06,59.38,39.2,93,90,9.17,overcast clouds,0.0,0.0
225,225,Ucluelet,CA,2020-02-23 02:35:34,48.93,-125.55,44.6,75,90,3.36,overcast clouds,0.0,0.0
226,226,Erdenet,MN,2020-02-23 02:40:23,49.03,104.08,18.32,81,98,4.07,overcast clouds,0.0,0.0
227,227,Shakiso,ET,2020-02-23 02:40:23,5.75,38.92,59.94,57,65,5.3,broken clouds,0.0,0.0
228,228,Padang,ID,2020-02-23 02:40:23,-0.95,100.35,78.33,62,0,7.67,clear sky,0.0,0.0
229,229,Fairbanks,US,2020-02-23 02:35:45,64.84,-147.72,8.6,71,90,12.75,overcast clouds,0.0,0.0
230,230,Belgorod,RU,2020-02-23 02:40:24,50.61,36.58,30.2,100,75,6.71,mist,0.0,0.0
231,231,Camacupa,AO,2020-02-23 02:40:24,-12.02,17.48,63.19,89,100,3.33,light rain,0.19,0.0
232,232,Pula,HR,2020-02-23 02:40:24,44.87,13.85,45.0,86,99,4.7,overcast clouds,0.0,0.0
233,233,Lavrentiya,RU,2020-02-23 02:40:24,65.58,-171.0,-15.34,94,0,4.21,clear sky,0.0,0.0
234,234,Pisco,PE,2020-02-23 02:40:24,-13.7,-76.22,75.2,88,75,12.75,broken clouds,0.0,0.0
235,235,Monkey Bay,MW,2020-02-23 02:40:25,-14.07,34.92,78.75,79,100,6.02,light rain,1.19,0.0
236,236,Portland,US,2020-02-23 02:36:01,45.52,-122.68,51.8,66,90,4.7,overcast clouds,0.0,0.0
237,237,Puerto Escondido,MX,2020-02-23 02:40:25,15.85,-97.07,82.4,88,5,6.93,clear sky,0.0,0.0
238,238,Makakilo City,US,2020-02-23 02:40:25,21.35,-158.09,80.6,57,1,9.17,clear sky,0.0,0.0
239,239,Vao,NC,2020-02-23 02:40:25,-22.67,167.48,79.02,76,8,14.29,clear sky,0.0,0.0
240,240,Sarankhola,BD,2020-02-23 02:40:26,22.31,89.79,77.4,36,0,4.07,clear sky,0.0,0.0
241,241,Jawa,JO,2020-02-23 02:40:26,31.85,35.94,42.8,93,0,3.29,mist,0.0,0.0
242,242,Kaputa,ZM,2020-02-23 02:40:26,-8.47,29.66,65.23,91,100,1.39,overcast clouds,0.0,0.0
